codigo_completo,naturaleza,grupo,subgrupo,codigo,nombre,descripcion
1.8.10.21,1,8,10,21,DelPresupuestoGeneraldelEstadoalaSeguridadSocialporSubsidiodelPorcentajedelaAportaciónIndividualde,las Personas que Realizan Trabajo no Remunerado del Hogar Aportedel Estado para cubri relsubsidiodelporcentajed elaaportaciónindividualde las personas que realizan trabajo no remunerado del hogar de conformidad con las disposiciones legales vigentes.
1.8.11,1,8,11,,Contribución para Egresos de las Administradoras,Aportes personal es y patronales para financiar los egresos de la administración del Seguro Social Campesinoy Seguro de Pensiones.
1.8.11.01,1,8,11,01,Contribución para Egresos de Administración Seguro Social Campesino,3% de la recaudación de aportes de los Jefes de Familia para financiar a la Administradora del Seguro Social Campesino
1.8.11.02,1,8,11,02,Contribución para Egresos de Administración de Pensiones,4% en la recaudación de los aportes personales y patronales de los afiliados al Seguro General Obligatorio.
1.8.11.03,1,8,11,03,Contribución para la Administración de Pensiones del Seguro Adicional Contratado,"Aportes del Seguro Adicional Contratado para financiar la administración de pensiones (gráficos, magisterio, ferroviarios y zafreros)."
1.9,1,9,,,OTROS INGRESOS,Comprenden los ingresos no tributarios corrientes no considerados en los grupos anteriores.
1.9.01,1,9,01,,Garantías y Fianzas,Ingresos provenientes de la ejecución de garantías y fianzas entregadas para el cumplimiento de contratos y obligaciones.
1.9.01.01,1,9,01,01,Ejecución de Garantías,Ingresos provenientes del reconocimiento del derecho para efectivizar garantías.
1.9.01.02,1,9,01,02,Ejecución de Fianzas,Ingresos provenientes del reconocimiento del derecho a ejecutar fianzas. 14
1.9.02,1,9,02,,IndemnizacionesyValoresnoReclamados,"Ingresos por el resarcimiento de daños o perjuicios, incluyen los valores no reclamados en sorteos y juegos de azar."
1.9.02.01,1,9,02,01,Indemnizaciones por Siniestros,Ingresos provenientes de la compensación al sector público por daños y perjuicios ocasionadosa la propiedad pública.
1.9.02.02,1,9,02,02,Premios no Reclamados de Sorteos,Ingresos provenientes de premios no reclamados de sorteos.
1.9.02.99,1,9,02,99,Otras Indemnizaciones y Valores no Reclamados,Ingresos provenientes de otras indemnizaciones y valores no reclamados.
1.9.03,1,9,03,,Remates de Bienes y Especies,"Ingresos por la adjudicación de bienes rematados en forma directa, en subasta, al martillo o en sobre cerrado."
1.9.03.01,1,9,03,01,Bienes y Especies Decomisadas,"Ingresos provenientes por laefectivaadjudicaciónde bienes decomisados,vendidosen forma directa , remates y subastas al martillo o en sobre cerrado."
